// GENEL KISIM
15000 tl altında 6 gb ram android telefon öner -> price:<=15000; brand:none; os:android; usage:none; ram:>=6; storage:none; battery:none; camera:none; screen:none;
oyun ve kamera iyi android 20000 tl -> price:<=20000; brand:none; os:android; usage:game_photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
iyi batarya ve 8 gb ram telefon -> price:any; brand:none; os:none; usage:none; ram:8; storage:none; battery:good; camera:none; screen:none; 
sadece şarjı iyi olan android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
oyun için 128 gb hafıza telefon -> price:any; brand:none; os:none; usage:game; ram:none; storage:128; battery:none; camera:none; screen:none; 
iphone oyun telefonu -> price:any; brand:apple; os:ios; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
samsung bataryası iyi olan -> price:any; brand:samsung; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
iphone fotoğraf çekmek için ucuz -> price:<=15000; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
pahalı gaming telefon -> price:30000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
orta segment bir android telefon -> price: 15000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
ekranı büyük android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good; 
ekranı küçük ios telefon -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:bad; 
hem oyun hem fotoğraf için android telefon -> price:any; brand:none; os:android; usage:game_photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
8 gb ram ve üzeri android telefon -> price:any; brand:none; os:android; usage:none; ram:>=8; storage:none; battery:none; camera:none; screen:none; 
pil ömrü uzun ve hızlı android telefon -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:good; camera:none; screen:none; 
çok fazla uygulama yüklemek için android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none; 
en iyi kameraya sahip telefon -> price:any; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
en ucuz android telefon -> price:<=5000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
iş için uygun android telefon -> price:any; brand:none; os:android; usage:work; ram:none; storage:none; battery:good; camera:none; screen:none; 
dayanıklı telefon -> price:any; brand:none; os:none; usage:durable; ram:none; storage:none; battery:none; camera:none; screen:none; 
suya dayanıklı telefon -> price:any; brand:none; os:none; usage:durable; ram:none; storage:none; battery:none; camera:none; screen:none; 
en yeni çıkan android telefon -> price:any; brand:none; os:android; usage:new; ram:none; storage:none; battery:none; camera:none; screen:none; 
katlanabilir telefon -> price:any; brand:none; os:none; usage:foldable; ram:none; storage:none; battery:none; camera:none; screen:none; 
samsungun en pahalı telefonu -> price:>=30000; brand:samsung; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
telefonum donmasın hızlı olsun -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
ekonomik android telefon -> price:<=10000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
öğrenci telefonu -> price:<=12000; brand:none; os:android; usage:student; ram:none; storage:none; battery:good; camera:none; screen:none; 
bütçem 15000 tl -> price:<=15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
bütçem min 15000tl -> price:>=15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
en fazla 15000tl olan telefon -> price:<=15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
en az 15000tl olan telefon -> price:>=15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
15000 tl bütçeli telefon -> price:<=15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
15000 tl -> price:<=15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
bütçem max 15000tl -> price:<=15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
fiyatı 15000 tl -> price:<=15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
bütçe farketmez -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
bütçe önemli değil -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
15000 lira -> price:<=15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
15000 tllik -> price:<=15000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
orta segment telefon 20000 tl civarı -> price:<=20000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
30000 tl civarı telefon -> price:<=30000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
üst segment telefon -> price:>=25000; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
android -> price:none; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
androidd -> price:none; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
samsung -> price:none; brand:samsung; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
androd -> price:none; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
android telefon öner -> price:none; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
xiaomi -> price:none; brand:xiaomi; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
huawei -> price:none; brand:huawei; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
apple telefon -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
apple -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
ayfon telefon -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
ios telefon -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
apple marka telefon -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
epıl -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
apple marka -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none;
oyuncu telefonu -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
gaming telefon -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
oyun oynanan telefon -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
oyun oynamak için -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
gaming telefon istiyorum -> price:none; brand:none; os:none; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
gaming android telefon -> price:none; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none;
fotograf -> price:none; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
selfie çekmek için -> price:none; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
kamerası iyi olan -> price:none; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
kamera iyi -> price:none; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
fotoğraf telefonu -> price:none; brand:none; os:none; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none;
rami 8 den yüksek olan -> price:none; brand:none; os:none; usage:none; ram:>=8; storage:none; battery:none; camera:none; screen:none;
rami 6 veya üstü -> price:none; brand:none; os:none; usage:none; ram:>=6; storage:none; battery:none; camera:none; screen:none;
rami 8 olan -> price:none; brand:none; os:none; usage:none; ram:8; storage:none; battery:none; camera:none; screen:none;
ram 12 gb -> price:none; brand:none; os:none; usage:none; ram:12; storage:none; battery:none; camera:none; screen:none;
hafızası iyi olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none;
depolama iyi olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none;
depolama çok olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none;
depolaması orta olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:medium; battery:none; camera:none; screen:none;
hafızası çok olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none;
hafızası fark etmez -> price:none; brand:none; os:none; usage:none; ram:none; storage:any; battery:none; camera:none; screen:none;
hafızası ortalama olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:medium; battery:none; camera:none; screen:none;
hafızası aşırı olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:very_good; battery:none; camera:none; screen:none;
256 gb hafıza -> price:none; brand:none; os:none; usage:none; ram:none; storage:256; battery:none; camera:none; screen:none;
128 gb hafıza -> price:none; brand:none; os:none; usage:none; ram:none; storage:128; battery:none; camera:none; screen:none;
512 gb hafıza -> price:none; brand:none; os:none; usage:none; ram:none; storage:512; battery:none; camera:none; screen:none;
64 gb hafıza -> price:none; brand:none; os:none; usage:none; ram:none; storage:64; battery:none; camera:none; screen:none;
iyi hafıza -> price:none; brand:none; os:none; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none;
hafızası orta olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:medium; battery:none; camera:none; screen:none;
hafızası kötü olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:bad; battery:none; camera:none; screen:none;
iyi hafıza iphone -> price:none; brand:apple; os:ios; usage:none; ram:none; storage:good; battery:none; camera:none; screen:none;


bataryası iyi olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
bataryası çok olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
şarjı çok giden -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
şarjı çok olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
şarjı yetsin -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
bataryası fark etmez -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:any; camera:none; screen:none;
6000 mah üstü batarya telefon -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
4000 mah ve altı batarya telefon -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:bad; camera:none; screen:none;
uzun batarya ömrü telefon -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none;
ekranı büyük olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good;
ekranı kocaman olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good;
ekranı normal olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good;
ekranı küçük olan -> price:none; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:bad;
şarjı hızlı dolan telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
uygun fiyatlı iyi kamera iphone -> price:<=20000; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
amiral gemisi android telefon -> price:>=30000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
samsungdan hızlı bir telefon -> price:any; brand:samsung; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
hem şık hem performanslı telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good; 
25000 tl civarı gaming iphone -> price:<=25000; brand:apple; os:ios; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
bataryası kötü olsun ama ucuz android -> price:<=8000; brand:none; os:android; usage:none; ram:none; storage:none; battery:bad; camera:none; screen:none; 
6gb ram ve iyi ekranlı android telefon -> price:any; brand:none; os:android; usage:none; ram:6; storage:none; battery:none; camera:none; screen:good; 
128 gb depolama ve büyük ekranlı android -> price:any; brand:none; os:android; usage:none; ram:none; storage:128; battery:none; camera:none; screen:good; 
sadece arama yapmak için ucuz telefon -> price:<=5000; brand:none; os:none; usage:call; ram:none; storage:none; battery:none; camera:none; screen:none; 
kamera ve batarya iyi olan samsung -> price:any; brand:samsung; os:android; usage:photo; ram:none; storage:none; battery:good; camera:good; screen:none; 
oyun ve şarjı iyi olan android -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:good; camera:none; screen:none; 
iş ve sosyal medya için telefon -> price:any; brand:none; os:none; usage:work; ram:none; storage:none; battery:none; camera:none; screen:none; 
küçük ekranlı ve iyi kameralı iphone -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:bad; 
10000 tl altında bataryası iyi android -> price:<=10000; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
çok hızlı şarj olan telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
video çekmek için iyi telefon -> price:any; brand:none; os:none; usage:video; ram:none; storage:none; battery:none; camera:good; screen:none; 
eski model ama iş gören android -> price:<=7000; brand:none; os:android; usage:none; ram:3; storage:none; battery:none; camera:none; screen:none; 
256 gb ve üzeri hafıza telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:256; battery:none; camera:none; screen:none; 
orta seviye kamera ve uzun şarj -> price:any; brand:none; os:none; usage:photo; ram:none; storage:none; battery:good; camera:good; screen:none; 
pubg oynanabilecek android telefon -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
huawei fotoğraf çekmek için -> price:any; brand:huawei; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
20000 tl altı 8 gb ram android -> price:<=20000; brand:none; os:android; usage:none; ram:8; storage:none; battery:none; camera:none; screen:none; 
en ucuz iphone -> price:<=18000; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
yüksek performanslı iş telefonu -> price:any; brand:none; os:none; usage:work; ram:8; storage:good; battery:good; camera:none; screen:none; 
yüksek performanslı android iş telefonu -> price:any; brand:none; os:android; usage:work; ram:8; storage:good; battery:good; camera:none; screen:none; 
12000 tl civarı iyi kameralı android -> price:<=12000; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
depolaması ve ekranı iyi android -> price:any; brand:none; os:android; usage:none; ram:none; storage:good; battery:none; camera:none; screen:good; 
hızlı ve batarya ömrü iyi android -> price:any; brand:none; os:android; usage:game; ram:none; storage:none; battery:good; camera:none; screen:none; 
sosyal medyada gezmek için telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
oyun ve fotoğraf için iphone -> price:any; brand:apple; os:ios; usage:photo; ram:6; storage:good; battery:good; camera:good; screen:none; 
bütçem 18000 tl, samsung -> price:18000; brand:samsung; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
6 gb ramli ve bataryası kötü telefon -> price:any; brand:none; os:none; usage:none; ram:6; storage:none; battery:bad; camera:none; screen:none; 
xiaomi oyuncu telefonu -> price:any; brand:xiaomi; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
kamerası çok iyi olmayan ama ucuz telefon -> price:10000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:bad; screen:none; 
25000 tl üstü android gaming -> price:25000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
sadece film izlemek için büyük ekran -> price:any; brand:none; os:none; usage:movie; ram:none; storage:none; battery:none; camera:none; screen:good; 
hem şarjı iyi hem de hafızası iyi telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:good; battery:good; camera:none; screen:none; 
çok fazla yer kaplamayan küçük telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:none; camera:none; screen:bad; 
15000 tl'ye kadar iyi kameralı android -> price:<=15000; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
en son çıkan iphone modelleri -> price:>=35000; brand:apple; os:ios; usage:new; ram:none; storage:none; battery:none; camera:none; screen:none; 
bataryası normal olan android telefon -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:medium; camera:none; screen:none; 
128 gb depolama ve bataryası iyi iphone -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:128; battery:good; camera:none; screen:none; 
uygun fiyatlı iş telefonu android -> price:<=15000; brand:none; os:android; usage:work; ram:none; storage:none; battery:none; camera:none; screen:none; 
25000 tl altında hızlı android -> price:<=25000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
ekranı kötü ama bataryası iyi telefon -> price:any; brand:none; os:none; usage:none; ram:none; storage:none; battery:good; camera:none; screen:bad; 
fotoğraf çekmek için ucuz android -> price:<=10000; brand:none; os:android; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
30000 tl üstü iphone -> price:>=30000; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
en iyi batarya ömrü olan android -> price:any; brand:none; os:android; usage:none; ram:none; storage:none; battery:good; camera:none; screen:none; 
10000 tl civarı 6 gb ram android -> price:<=10000; brand:none; os:android; usage:none; ram:6; storage:none; battery:none; camera:none; screen:none; 
sosyal medya ve fotoğraf için telefon -> price:any; brand:none; os:none; usage:socialmedia_photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
hem oyun hem günlük kullanım android -> price:any; brand:none; os:android; usage:game_daily; ram:none; storage:none; battery:none; camera:none; screen:none; 
apple'dan iyi kameraya sahip bir telefon -> price:any; brand:apple; os:ios; usage:photo; ram:none; storage:none; battery:none; camera:good; screen:none; 
uygun fiyatlı iyi performanslı android -> price:<=15000; brand:none; os:android; usage:game; ram:none; storage:none; battery:none; camera:none; screen:none; 
256 gb depolama ve 8 gb ramli android -> price:any; brand:none; os:android; usage:none; ram:8; storage:256; battery:none; camera:none; screen:none; 
telefon konuşması için bataryası iyi -> price:any; brand:none; os:none; usage:call; ram:none; storage:none; battery:good; camera:none; screen:none; 
oyun ve video izlemek için telefon -> price:any; brand:none; os:none; usage:game_movie; ram:none; storage:none; battery:none; camera:none; screen:good; 
en ucuz samsung telefon -> price:<=8000; brand:samsung; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:none; 
pil ömrü çok kötü olan iphone -> price:any; brand:apple; os:ios; usage:none; ram:none; storage:none; battery:bad; camera:none; screen:none; 
15000 tl'ye kadar büyük ekranlı android -> price:<=15000; brand:none; os:android; usage:none; ram:none; storage:none; battery:none; camera:none; screen:good; 
çok uygulama açabilen android -> price:any; brand:none; os:android; usage:multitasking; ram:good; storage:none; battery:none; camera:none; screen:none; 
